debugDzRty:debugb6Ojh,mostdiff,A-X
debugDzRty:debugb6Ojh,gender,
debugDzRty:debugb6Ojh,age,
debugDzRty:debugb6Ojh,leastdiff,A-X
debugDzRty:debugb6Ojh,education,Pre-Secondary Education
debugDzRty:debugb6Ojh,ethnicity,
debugFQl82:debugHFXxO,mostdiff,A-X
debugFQl82:debugHFXxO,gender,333
debugFQl82:debugHFXxO,age,333
debugFQl82:debugHFXxO,leastdiff,3-back
debugFQl82:debugHFXxO,education,Associate's Degree
debugFQl82:debugHFXxO,ethnicity,333
debugKEKEu:debugWRQJH,mostdiff,A-X
debugKEKEu:debugWRQJH,gender,123
debugKEKEu:debugWRQJH,age,123
debugKEKEu:debugWRQJH,leastdiff,2-back
debugKEKEu:debugWRQJH,education,Bachelor's Degree
debugKEKEu:debugWRQJH,ethnicity,123
