debugcSAbG:debugWfGHN,mostdiff,A-X
debugcSAbG:debugWfGHN,gender,debug
debugcSAbG:debugWfGHN,age,999
debugcSAbG:debugWfGHN,leastdiff,3-back
debugcSAbG:debugWfGHN,empty,mysqlsaver
debugcSAbG:debugWfGHN,education,High School (or GED)
debugcSAbG:debugWfGHN,ethnicity,debug
debugUZtiv:debugoPH5v,mostdiff,A-X
debugUZtiv:debugoPH5v,gender,d
debugUZtiv:debugoPH5v,age,2
debugUZtiv:debugoPH5v,leastdiff,A-X
debugUZtiv:debugoPH5v,empty,mysqlsaver
debugUZtiv:debugoPH5v,education,Pre-Secondary Education
debugUZtiv:debugoPH5v,ethnicity,d
debugyiFiV:debugItqix,mostdiff,A-X
debugyiFiV:debugItqix,gender,d
debugyiFiV:debugItqix,age,3
debugyiFiV:debugItqix,leastdiff,A-X
debugyiFiV:debugItqix,empty,mysqlsaver
debugyiFiV:debugItqix,education,Pre-Secondary Education
debugyiFiV:debugItqix,ethnicity,d
